season,doy,treatment,timestamp,co.flux,co2.flux,Tr,PAR,PAR_above_canopy,TL,TA,VPD,SWC,g_tw,g_tCO,co.ci
Autumn,304,dro,2020-10-30 12:45:00,,,,275.77316958333336,105.21652675000001,28.888092060185187,30.578814791666666,2290.7469166467213,8.96495,,,
Autumn,304,irr,2020-10-30 12:45:00,0.19225195898147457,-2.5085105881857217,0.5827454029271351,73.90759324999999,125.5187086666667,28.21980138541667,29.374364791666665,2139.524024074843,12.243794000000001,0.02854122965703455,0.03425880590541346,167.90755817094467
Autumn,305,dro,2020-10-31 12:45:00,,,,308.78974999999997,117.00805241666666,26.505291325231482,28.58666175,1717.489749951841,8.986972916666666,,,
Autumn,305,irr,2020-10-31 12:45:00,0.27115108501241886,-3.439395449443966,0.6618630906495129,204.08896604166668,133.76783666666665,26.143572479166664,26.980302625,1619.011759059272,12.307889999999997,0.04402100839531225,0.052839600833521766,125.35366569396874
Autumn,306,dro,2020-11-01 12:15:00,0.22548137092179715,-0.9914972761570345,0.17914065520343375,274.2174816666667,259.1839,24.33562582175926,27.264377916666668,1419.5981658295104,8.948523333333332,0.0078060086296435505,0.009369762191483885,125.06407722784017
Autumn,306,irr,2020-11-01 12:15:00,,,,268.6718833333333,196.56994333333333,24.938262025462965,26.855041333333336,1450.6888246930762,12.301600666666666,,,
Autumn,307,dro,2020-11-02 12:45:00,0.11227763387376195,-0.9832704948502514,0.1308454006757506,356.1906,130.4911925,22.8065502662037,25.375616833333332,1206.479551761483,8.93173875,0.006951822996155,0.008344460192357708,117.14443771518677
Autumn,307,irr,2020-11-02 12:45:00,0.40819916157987113,-5.536138051697241,0.8039342620922962,290.66069500000003,150.49414000000002,23.063954484953705,23.88193245833333,1281.1837481106159,12.293138333333332,0.07141093045133859,0.08571646124764677,104.03089508665529
Autumn,308,dro,2020-11-03 12:45:00,0.1190454388555075,-1.1945231352790966,0.140316597253663,390.4398500000001,188.54469583333332,22.611577934027775,25.698053625,1281.9145196624422,8.939227916666667,0.00699591391170585,0.008397383704630987,120.57692639444379
Autumn,308,irr,2020-11-03 12:45:00,0.5405339287196187,-5.619337666309047,0.9016551923048832,342.8336158333333,185.92356166666664,23.167813581018514,24.406407291666664,1491.9942310895508,12.204072333333333,0.07144338442588871,0.08575541662652608,113.8842935569701
Autumn,309,dro,2020-11-04 12:45:00,,,,386.35853666666674,116.61719433333334,20.955670381944444,23.34650045833333,,8.867291666666668,,,
Autumn,309,irr,2020-11-04 12:45:00,,,,409.76206833333333,163.77413666666666,20.859437839120375,22.601611875,,12.122292,,,
Autumn,312,dro,2020-11-07 12:45:00,,,,367.69278166666663,190.9192225,22.488733061342593,23.708014291666665,,14.911875416666668,,,
Autumn,312,irr,2020-11-07 12:45:00,,,,319.17317625000004,182.56489333333332,21.16541286111111,22.78824583333333,,16.251719,,,
Autumn,313,dro,2020-11-08 12:45:00,0.17970281187633996,-0.8464311508713348,0.1474406500662841,410.01250875,167.67203166666667,24.014812899305554,26.611979958333336,1807.8830628396677,14.795737499999998,0.00603144686070815,0.007239707952768172,182.5171165195149
Autumn,313,irr,2020-11-08 12:45:00,0.5565607383644986,-6.128417732045199,1.1849338838992667,330.4468183333333,184.7469066666667,22.901210374999998,24.616696041666668,1669.399239303184,16.096310666666668,0.09218848963065285,0.11065632458450649,164.01973178489584
